,D,L_amount,Ec,Cfp,Ll,Cr,Ic,TotalCostAuto,TotalCostM
208,29.93881944444444,44.01798611111112,132.05395833333336,110.0449652777778,5.0,5.0,29974.30962361111,1391.507998448076,3031.536535277778
209,28.54125,43.05201388888889,129.15604166666665,107.6300347222222,6.0,6.6,27693.17991645833,1287.826371016505,2803.3959256736107
210,26.02104166666667,58.86222222222222,183.98666666666668,150.85555555555555,2.0,10.1,28235.89958125,1320.895513806857,2869.802506736111
211,25.591875,57.470277777777774,172.61083333333332,143.77569444444444,6.0,11.6,28292.887029513888,1323.0804911190664,2874.4735710069444
212,26.407569444444444,74.77673611111112,225.53020833333335,187.5418402777778,3.6,5.6,27036.739811875,1272.8370682587165,2757.6996166041667
213,26.053680555555555,81.62180555555557,245.66541666666672,204.45451388888893,1.0,8.5,26051.661441736112,1231.8643211007186,2664.445685840278
214,26.633333333333333,59.76902777777778,179.30708333333334,149.42256944444443,3.8,9.0,25631.682340555555,1202.5433988904797,2608.661435444445
215,25.985625,68.43159722222222,205.29479166666667,171.07899305555554,2.2,9.7,26643.38557993056,1252.5797579641153,2715.5176586875004
216,26.40826388888889,78.14909722222222,234.44729166666667,195.37274305555556,2.8,9.8,26805.475444166663,1265.024814870798,2738.1852839999997
217,27.707430555555558,76.17861111111111,228.53583333333333,190.44652777777776,6.4,10.7,26840.125391805555,1266.781238426134,2741.219379458334
218,28.437013888888888,64.46472222222222,193.39416666666665,161.16180555555553,8.4,11.5,26911.01358451389,1264.878682449684,2741.287129284723
219,27.12013888888889,82.83722222222222,248.51166666666666,207.09305555555557,8.0,5.2,28017.554858472224,1322.0408275568095,2861.1916941805566
220,28.153125000000003,73.22256944444445,219.66770833333334,183.05642361111111,7.4,0.9,27310.094044097223,1283.9851875002164,2782.5193870486105
221,29.543888888888887,45.43743055555555,168.11229166666666,129.49357638888887,6.8,0.0,26917.57575743056,1255.4078189097684,2729.6962944930565
222,30.20263888888889,29.77243055555555,92.11729166666665,75.83107638888887,6.6,5.8,26341.859979375,1220.3856495390821,2659.9583416875007
223,27.676944444444445,37.10993055555556,111.32979166666667,92.7748263888889,1.2,7.4,26971.24346888889,1251.3273749470977,2727.093496194445
224,24.279444444444444,46.62708333333333,139.88125,116.56770833333333,9.0,8.9,26443.260188333334,1233.09429147868,2681.5215674444444
225,23.57513888888889,46.35270833333333,139.058125,115.88177083333332,8.6,0.0,25483.51097145833,1186.5265863021345,2581.6978714513893
226,24.55986111111111,50.581875,151.745625,126.45468749999999,3.8,8.4,25503.113897847223,1191.4551409868739,2589.3855946458334
227,25.027916666666663,57.83861111111111,182.71583333333334,149.1965277777778,4.2,9.8,26307.54440986111,1233.1032691666205,2676.572329875
228,24.875138888888888,59.13673611111111,188.81020833333335,153.5418402777778,7.4,7.0,26247.85788902778,1230.931369272689,2670.9621812638893
229,24.193472222222223,68.7676388888889,206.5029166666667,172.01909722222223,9.6,12.7,26394.81713673611,1243.2034699926464,2692.6700261736114
230,25.254583333333333,77.94097222222223,233.82291666666669,194.85243055555557,6.0,11.3,26611.368860902778,1256.8267858386303,2719.443976368056
231,25.54416666666667,85.20763888888888,255.62291666666664,213.0190972222222,9.8,9.9,26054.002089791666,1235.4547218583957,2668.279590923611
232,25.31368055555556,66.89354166666666,200.680625,167.23385416666667,8.0,0.3,24599.24764895833,1157.0654083260004,2506.8569350347225
233,24.101875,51.62152777777778,155.06458333333333,129.15381944444445,4.2,7.2,24079.916405416665,1127.0142018550277,2447.2858210972227
234,23.697916666666668,55.39604166666666,166.588125,138.69010416666666,5.0,0.0,24051.577847430555,1125.5356235622012,2444.0950034930556
235,23.66201388888889,61.47430555555555,194.82291666666666,158.88576388888887,2.4,7.0,23141.985370972223,1089.9386271372275,2361.1230370972226
236,23.645,74.48479166666667,223.454375,186.21197916666665,6.0,12.2,22677.199581805555,1076.459312869853,2323.9795727638893
237,24.61430555555556,78.66902777777779,236.00708333333336,196.67256944444446,8.4,6.9,22244.305120555557,1057.9566982132278,2281.6268106666676
238,25.01465277777778,79.46173611111111,239.9852083333333,199.45434027777776,7.0,7.6,21369.153604791667,1018.8652657441256,2195.0469542291667
239,24.82409722222222,88.10763888888889,264.7229166666666,220.4690972222222,5.2,10.6,19365.60083625,932.6958766747043,2001.132458625
240,25.055208333333333,88.55416666666666,265.66249999999997,221.38541666666663,9.0,0.3,18224.994775347222,878.7435071633582,1883.585206701389
